,zHorvathAgeEAA,zHannumAgeEAA,zPhenoAgeEAA,zGrimAgeMortEAA,zDunedinPoAm,ses,frailty_score
zHorvathAgeEAA,1,0.43653053,0.25978586,0.11417771,0.12423234,0.009521559,0.053811591
zHannumAgeEAA,0.43653053,1,0.42545348,0.28371906,0.1877277,-0.034989238,0.089202948
zPhenoAgeEAA,0.25978586,0.42545348,1,0.33919132,0.23936777,-0.12721166,0.12356342
zGrimAgeMortEAA,0.11417771,0.28371906,0.33919132,1,0.65341711,-0.23159505,0.20981404
zDunedinPoAm,0.12423234,0.1877277,0.23936777,0.65341711,1,-0.14620583,0.16117696
ses,0.009521559,-0.034989238,-0.12721166,-0.23159505,-0.14620583,1,-0.35817996
frailty_score,0.053811591,0.089202948,0.12356342,0.20981404,0.16117696,-0.35817996,1
